# color images
# file: 'rgbd_dataset_freiburg3_long_office_household_validation.bag'
# timestamp filename
1341848149.066823 rgb/1341848149.066823.png
1341848149.102697 rgb/1341848149.102697.png
1341848149.134977 rgb/1341848149.134977.png
1341848149.170774 rgb/1341848149.170774.png
1341848149.202906 rgb/1341848149.202906.png
1341848149.234807 rgb/1341848149.234807.png
1341848149.277866 rgb/1341848149.277866.png
1341848149.341858 rgb/1341848149.341858.png
1341848149.370772 rgb/1341848149.370772.png
1341848149.402909 rgb/1341848149.402909.png
1341848149.439243 rgb/1341848149.439243.png
1341848149.470905 rgb/1341848149.470905.png
1341848149.502903 rgb/1341848149.502903.png
1341848149.538854 rgb/1341848149.538854.png
1341848149.570826 rgb/1341848149.570826.png
1341848149.602772 rgb/1341848149.602772.png
1341848149.638821 rgb/1341848149.638821.png
1341848149.672069 rgb/1341848149.672069.png
1341848149.706860 rgb/1341848149.706860.png
1341848149.738778 rgb/1341848149.738778.png
1341848149.770766 rgb/1341848149.770766.png
1341848149.806957 rgb/1341848149.806957.png
1341848149.838794 rgb/1341848149.838794.png
1341848149.870877 rgb/1341848149.870877.png
1341848149.906729 rgb/1341848149.906729.png
1341848149.938848 rgb/1341848149.938848.png
1341848149.974872 rgb/1341848149.974872.png
1341848150.006810 rgb/1341848150.006810.png
1341848150.038981 rgb/1341848150.038981.png
1341848150.074765 rgb/1341848150.074765.png
1341848150.106812 rgb/1341848150.106812.png
1341848150.142689 rgb/1341848150.142689.png
1341848150.174840 rgb/1341848150.174840.png
1341848150.207021 rgb/1341848150.207021.png
1341848150.242762 rgb/1341848150.242762.png
1341848150.274881 rgb/1341848150.274881.png
1341848150.306915 rgb/1341848150.306915.png
1341848150.342852 rgb/1341848150.342852.png
1341848150.374784 rgb/1341848150.374784.png
1341848150.410799 rgb/1341848150.410799.png
1341848150.442767 rgb/1341848150.442767.png
1341848150.475017 rgb/1341848150.475017.png
1341848150.510959 rgb/1341848150.510959.png
1341848150.543172 rgb/1341848150.543172.png
1341848150.574862 rgb/1341848150.574862.png
1341848150.610694 rgb/1341848150.610694.png
1341848150.642797 rgb/1341848150.642797.png
1341848150.678807 rgb/1341848150.678807.png
1341848150.710756 rgb/1341848150.710756.png
1341848150.742732 rgb/1341848150.742732.png
1341848150.778824 rgb/1341848150.778824.png
